日期,代码,名称,现价,涨幅(%),挤压天数,绿色动能,动能情况,突破趋势,是否放量,是否ATH,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2026-01-06,002899,英派斯,27.4,0.55,8,6,绿亮[+0.89]-绿暗[+0.86]-绿亮[+0.89]-绿亮[+1.13]-绿亮[+1.20]-绿亮[+1.23],高-高-高-高-高-高,否,否,3.36,59.85,40.5,40.5,0.11
2026-01-06,003004,*ST声迅,24.7,5.02,28,6,绿亮[+0.78]-绿亮[+0.78]-绿暗[+0.55]-绿暗[+0.39]-绿亮[+0.40]-绿亮[+0.50],低-低-低-低-低-低,否,否,0.6,-399.59,20.22,16.98,10.27
2026-01-06,600320,振华重工,5.1,1.19,6,6,绿暗[+0.06]-绿暗[+0.05]-绿亮[+0.06]-绿亮[+0.07]-绿亮[+0.10]-绿亮[+0.10],低-低-低-低-高-低,否,否,2.17,38.47,268.69,169.42,-0.97
2026-01-06,600372,中航机载,14.16,4.73,8,6,绿亮[+0.52]-绿暗[+0.52]-绿亮[+0.52]-绿暗[+0.51]-绿亮[+0.53]-绿亮[+0.54],高-高-高-高-高-高,否,否,2.97,51.93,685.19,685.19,5.51
2026-01-06,600711,盛屯矿业,15.99,5.61,6,6,绿暗[+0.95]-绿亮[+0.98]-绿暗[+0.94]-绿亮[+0.98]-绿暗[+0.97]-绿暗[+0.94],高-高-高-高-高-高,否,否,6.03,21.78,494.19,494.19,5.47
2026-01-06,600768,宁波富邦,14.33,1.13,24,3,红暗[-0.16]-红暗[-0.13]-红暗[-0.03]-绿亮[+0.12]-绿亮[+0.27]-绿亮[+0.41],低-低-低-低-低-高,否,否,3.44,89.07,19.17,19.17,2.36
2026-01-06,600784,鲁银投资,7.0,0.86,18,6,绿亮[+0.11]-绿亮[+0.15]-绿亮[+0.23]-绿亮[+0.25]-绿亮[+0.31]-绿亮[+0.33],低-低-高-低-低-低,否,否,1.73,21.98,47.3,47.3,0.29
2026-01-06,600855,航天长峰,25.45,9.98,7,5,绿暗[+0.45]-绿暗[+0.31]-绿暗[+0.10]-红亮[-0.01]-绿亮[+0.01]-绿亮[+0.37],高-高-高-高-高-高,否,是,5.09,-115.68,119.24,119.01,20.96
2026-01-06,600895,张江高科,44.52,1.0,27,4,红暗[-0.88]-红暗[-0.53]-绿亮[+0.11]-绿亮[+0.37]-绿亮[+0.99]-绿亮[+1.56],低-低-低-低-高-高,否,否,4.62,83.87,689.48,689.48,1.41
2026-01-06,600909,华安证券,7.6,9.99,13,6,绿亮[+0.13]-绿亮[+0.15]-绿亮[+0.18]-绿亮[+0.19]-绿亮[+0.20]-绿亮[+0.21],低-低-低-低-低-低,是,是,8.47,14.16,355.56,355.56,12.09
2026-01-06,601168,西部矿业,28.96,3.17,6,6,绿暗[+1.26]-绿亮[+1.28]-绿暗[+1.18]-绿暗[+1.09]-绿亮[+1.10]-绿亮[+1.23],高-高-高-高-高-高,否,否,2.79,17.57,690.12,690.12,4.78
2026-01-06,601886,江河集团,8.97,10.06,44,6,绿亮[+0.04]-绿亮[+0.09]-绿亮[+0.14]-绿亮[+0.18]-绿亮[+0.24]-绿亮[+0.27],低-低-低-低-低-低,是,是,1.54,16.66,101.63,101.63,9.93
2026-01-06,603061,金海通,169.88,10.0,28,6,绿亮[+9.85]-绿暗[+9.50]-绿暗[+8.61]-绿暗[+7.18]-绿暗[+6.02]-绿亮[+7.65],低-低-低-低-低-高,是,是,6.74,61.17,101.93,71.05,21.0
2026-01-06,603325,博隆技术,80.33,1.81,29,5,红暗[-0.42]-绿亮[+0.00]-绿亮[+0.34]-绿亮[+0.60]-绿亮[+0.78]-绿亮[+1.11],低-低-低-低-低-低,是,否,3.2,14.97,64.27,27.46,3.29
