日期,代码,名称,当前价,涨幅(%),建议止损价,FVG,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,600309,万华化学,76.71,-0.47,73.56,bull,0.78,19.67,2401.38,2401.38,8.62
2025-12-25,600316,洪都航空,32.33,2.05,30.24,bull,1.74,1464.35,231.84,231.84,0.72
2025-12-25,600326,西藏天路,11.28,1.26,10.64,bull,4.08,510.02,153.69,153.69,74.61
2025-12-25,600330,天通股份,12.5,-4.14,11.19,bull,16.26,201.74,154.18,154.18,76.55
2025-12-25,600343,航天动力,43.27,3.52,35.73,bull,25.29,-189.57,276.15,276.15,312.1
2025-12-25,600346,恒力石化,20.74,1.97,19.22,bull,0.42,21.8,1459.91,1459.91,39.95
2025-12-25,600353,旭光电子,16.55,-1.19,15.28,bull,3.07,101.92,137.36,137.17,131.15
2025-12-25,600356,恒丰纸业,9.23,3.24,8.55,bull,5.77,13.95,27.57,27.57,22.9
2025-12-25,600388,龙净环保,16.77,0.66,15.94,bull,0.93,20.47,212.99,212.99,35.57
2025-12-25,600418,江淮汽车,49.32,0.96,46.28,bull,1.67,-56.33,1077.15,1077.15,31.52
2025-12-25,600426,华鲁恒升,31.62,2.7,29.11,bull,0.81,21.21,671.36,670.17,50.14
2025-12-25,600433,冠豪高新,3.36,3.07,3.12,bull,2.49,-46.76,58.81,58.81,8.04
2025-12-25,600475,华光环能,19.47,1.94,17.69,bull,3.69,40.54,186.13,183.58,127.45
2025-12-25,600481,双良节能,5.78,-0.52,5.44,bull,1.89,-14.94,108.3,108.3,5.09
2025-12-25,600482,中国动力,20.93,1.21,19.89,bull,1.04,29.29,471.67,471.67,-13.51
2025-12-25,600528,中铁工业,8.13,0.62,7.9,bull,0.5,13.64,180.61,180.61,2.14
2025-12-25,600525,ST长园,3.78,2.16,3.54,bull,2.22,-11.4,49.85,49.85,-22.54
2025-12-25,600563,法拉电子,105.46,-0.11,101.45,bull,0.87,20.05,237.28,237.28,-9.8
2025-12-25,600570,恒生电子,30.09,1.62,28.52,bull,2.02,93.92,569.94,569.94,7.89
2025-12-25,600577,精达股份,12.21,10.0,10.31,bull,9.63,43.65,262.42,262.42,69.35
2025-12-25,600590,泰豪科技,9.35,2.19,8.72,bull,2.79,122.03,79.74,78.87,72.51
2025-12-25,600602,云赛智联,17.89,0.11,17.18,bull,0.72,126.37,244.68,192.19,13.37
2025-12-25,600603,广汇物流,6.72,1.36,6.33,bull,1.11,18.89,80.19,80.19,-30.15
2025-12-25,600619,海立股份,21.38,1.71,19.46,bull,5.28,311.04,229.48,168.73,75.39
2025-12-25,600633,浙数文化,12.82,0.23,12.36,bull,0.76,22.8,162.57,162.57,25.44
2025-12-25,600636,*ST国化,8.71,-0.91,8.42,bull,0.64,83.28,38.21,38.21,-5.63
2025-12-25,600704,物产中大,5.59,-0.18,5.45,bull,0.84,7.1,289.07,289.07,15.26
2025-12-25,600755,厦门国贸,7.93,9.99,6.88,bull,18.06,22.03,169.51,169.08,25.67
2025-12-25,600753,*ST海钦,8.1,-0.12,7.77,bull,0.68,54.49,18.65,18.65,29.6
2025-12-25,600764,中国海防,27.24,1.91,25.45,bull,1.6,94.16,193.58,193.58,-3.61
2025-12-25,600761,安徽合力,22.3,4.3,20.57,bull,12.73,13.29,198.62,198.62,31.56
2025-12-25,600760,中航沈飞,57.25,2.88,52.97,bull,1.48,89.41,1623.09,1573.34,13.77
2025-12-25,600770,综艺股份,5.19,0.39,4.95,bull,0.89,55.73,67.47,67.47,23.87
2025-12-25,600775,南京熊猫,12.09,0.33,11.17,bull,14.1,-92.36,110.48,81.23,20.42
2025-12-25,600783,鲁信创投,19.18,9.98,16.69,bull,6.85,33.36,142.77,142.77,52.22
2025-12-25,600793,宜宾纸业,23.41,10.01,20.17,bull,6.92,205.88,41.41,41.41,0.77
2025-12-25,600820,隧道股份,6.57,0.31,6.39,bull,0.74,12.81,206.57,206.57,-4.64
2025-12-25,600848,上海临港,11.96,3.1,10.96,bull,1.1,20.52,301.69,286.31,20.81
2025-12-25,600865,百大集团,21.7,9.98,18.43,bull,21.01,255.48,81.64,81.64,87.23
2025-12-25,600873,梅花生物,10.23,0.1,9.97,bull,0.66,7.11,286.87,286.87,6.45
2025-12-25,600876,凯盛新能,10.12,0.4,9.53,bull,1.52,-8.22,65.34,40.04,6.64
2025-12-25,600877,电科芯片,16.31,1.49,14.75,bull,4.44,1458.37,193.12,193.12,23.65
2025-12-25,600895,张江高科,42.48,4.81,37.11,bull,5.74,80.02,657.88,657.88,59.82
2025-12-25,600927,永安期货,15.39,-0.32,14.77,bull,0.51,35.38,224.01,224.01,17.48
2025-12-25,600962,国投中鲁,23.09,-1.45,21.59,bull,7.18,159.11,60.54,60.54,75.59
2025-12-25,600966,博汇纸业,6.81,10.02,5.88,bull,3.15,56.21,91.04,91.04,32.75
2025-12-25,600973,宝胜股份,6.88,1.93,6.17,bull,9.3,118.95,94.35,94.35,9.21
2025-12-25,600986,浙文互联,7.55,1.48,6.97,bull,2.03,66.51,112.3,112.3,26.25
