日期,代码,名称,当前价,连续亮红天数,今日深红值,形态描述,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-06-24,002305,*ST南置,2.04,6,-0.1404,检测到连续 6 天亮红挤压增长后，首日转深红,1.67,-2.22,38.85,38.84,12.56
2025-06-24,002362,汉王科技,22.04,6,-0.3963,检测到连续 6 天亮红挤压增长后，首日转深红,1.67,-41.06,49.92,42.39,-9.89
2025-06-24,002494,华斯股份,4.81,6,-0.106,检测到连续 6 天亮红挤压增长后，首日转深红,3.85,-339.51,19.96,15.17,32.58
2025-06-24,002548,金新农,3.81,7,-0.0832,检测到连续 7 天亮红挤压增长后，首日转深红,4.01,-36.92,46.38,45.05,41.06
2025-06-24,002576,通达动力,16.09,13,-1.081,检测到连续 13 天亮红挤压增长后，首日转深红,1.26,32.83,27.32,26.82,-2.99
2025-06-24,002580,圣阳股份,14.39,6,-1.2628,检测到连续 6 天亮红挤压增长后，首日转深红,1.57,26.68,56.96,56.77,48.7
2025-06-24,002584,西陇科学,9.62,8,-1.0358,检测到连续 8 天亮红挤压增长后，首日转深红,12.03,-66.73,55.01,44.03,30.74
2025-06-24,002672,东江环保,4.48,8,-0.1443,检测到连续 8 天亮红挤压增长后，首日转深红,0.5,-7.17,53.49,43.81,14.42
2025-06-24,002686,亿利达,6.29,6,-0.2319,检测到连续 6 天亮红挤压增长后，首日转深红,2.33,76.11,36.52,33.72,20.56
2025-06-24,002774,快意电梯,8.6,5,-0.3161,检测到连续 5 天亮红挤压增长后，首日转深红,3.51,46.08,31.99,26.77,44.6
2025-06-24,002816,*ST和科,17.87,6,-1.467,检测到连续 6 天亮红挤压增长后，首日转深红,1.98,229.22,20.58,20.58,39.71
2025-06-24,002820,桂发祥,10.84,6,-0.2448,检测到连续 6 天亮红挤压增长后，首日转深红,7.13,1888.32,25.67,25.67,4.16
2025-06-24,002835,同为股份,18.0,9,-0.8817,检测到连续 9 天亮红挤压增长后，首日转深红,1.19,22.41,35.05,20.33,-15.41
2025-06-24,002918,蒙娜丽莎,8.19,5,-0.1088,检测到连续 5 天亮红挤压增长后，首日转深红,2.35,53.81,57.76,30.11,36.39
2025-06-24,002931,锋龙股份,15.45,5,-0.4619,检测到连续 5 天亮红挤压增长后，首日转深红,0.0,149.88,43.0,39.48,21.41
2025-06-24,002971,和远气体,21.85,6,-0.763,检测到连续 6 天亮红挤压增长后，首日转深红,4.62,84.03,64.65,49.15,64.58
2025-06-24,002972,科安达,11.57,7,-0.3475,检测到连续 7 天亮红挤压增长后，首日转深红,4.63,37.86,30.31,16.59,21.98
2025-06-24,002975,博杰股份,32.77,5,-0.9436,检测到连续 5 天亮红挤压增长后，首日转深红,6.15,89.38,126.0,83.21,159.15
2025-06-24,002990,盛视科技,28.95,6,-1.2423,检测到连续 6 天亮红挤压增长后，首日转深红,3.42,87.87,71.83,36.78,19.47
2025-06-24,003011,海象新材,17.42,7,-0.5004,检测到连续 7 天亮红挤压增长后，首日转深红,4.13,18.93,22.81,17.35,52.09
2025-06-24,003022,联泓新科,15.74,6,-0.1519,检测到连续 6 天亮红挤压增长后，首日转深红,1.05,82.15,254.56,254.34,39.02
2025-06-24,600103,青山纸业,2.19,6,-0.0429,检测到连续 6 天亮红挤压增长后，首日转深红,6.52,101.37,87.84,86.72,53.73
2025-06-24,600133,东湖高新,8.93,7,-0.3164,检测到连续 7 天亮红挤压增长后，首日转深红,1.06,95.42,96.28,96.28,-1.74
2025-06-24,600187,国中水务,3.25,6,-0.1876,检测到连续 6 天亮红挤压增长后，首日转深红,1.64,-191.97,41.31,41.31,-23.81
2025-06-24,600202,哈空调,5.46,5,-0.3176,检测到连续 5 天亮红挤压增长后，首日转深红,1.16,-70.85,22.5,22.5,32.21
2025-06-24,600210,紫江企业,6.44,5,-0.0756,检测到连续 5 天亮红挤压增长后，首日转深红,1.05,8.66,111.48,111.48,16.48
2025-06-24,600218,全柴动力,8.79,6,-0.3461,检测到连续 6 天亮红挤压增长后，首日转深红,3.77,50.18,46.43,46.43,35.97
2025-06-24,600241,时代万恒,7.8,7,-0.047,检测到连续 7 天亮红挤压增长后，首日转深红,1.3,1099.6,24.6,24.6,24.96
2025-06-24,600272,开开实业,13.46,6,-0.4746,检测到连续 6 天亮红挤压增长后，首日转深红,4.6,218.91,37.56,22.88,-5.8
2025-06-24,600356,恒丰纸业,7.87,6,-0.2085,检测到连续 6 天亮红挤压增长后，首日转深红,1.31,13.02,25.75,25.75,14.78
2025-06-24,600615,鑫源智造,10.9,7,-0.573,检测到连续 7 天亮红挤压增长后，首日转深红,0.94,323.54,25.0,24.96,19.4
2025-06-24,600724,宁波富达,4.5,7,-0.0887,检测到连续 7 天亮红挤压增长后，首日转深红,1.05,36.3,81.8,81.78,-8.86
2025-06-24,600725,云维股份,3.18,9,-0.155,检测到连续 9 天亮红挤压增长后，首日转深红,4.08,-223.65,51.64,51.64,23.96
2025-06-24,600769,祥龙电业,10.29,14,-0.6232,检测到连续 14 天亮红挤压增长后，首日转深红,0.91,194.95,44.73,44.73,24.14
2025-06-24,600801,华新建材,11.55,8,-0.2725,检测到连续 8 天亮红挤压增长后，首日转深红,0.71,18.62,497.5,321.69,111.77
2025-06-24,600956,新天绿能,7.6,9,-0.2234,检测到连续 9 天亮红挤压增长后，首日转深红,0.16,15.98,332.13,172.82,0.41
2025-06-24,601033,永兴股份,16.31,5,-0.4654,检测到连续 5 天亮红挤压增长后，首日转深红,1.03,13.63,135.54,36.14,8.66
2025-06-24,601111,中国国航,7.8,5,-0.2764,检测到连续 5 天亮红挤压增长后，首日转深红,0.4,61.31,1528.48,1019.5,10.75
2025-06-24,601236,红塔证券,8.25,9,-0.2013,检测到连续 9 天亮红挤压增长后，首日转深红,0.31,33.56,386.78,386.78,-1.68
2025-06-24,601968,宝钢包装,4.78,10,-0.1154,检测到连续 10 天亮红挤压增长后，首日转深红,1.65,29.89,70.04,70.04,12.73
2025-06-24,603035,常熟汽饰,13.24,7,-0.2421,检测到连续 7 天亮红挤压增长后，首日转深红,1.33,11.96,55.5,55.5,7.83
2025-06-24,603058,永吉股份,8.09,7,-0.1473,检测到连续 7 天亮红挤压增长后，首日转深红,2.35,29.69,39.1,39.0,8.27
2025-06-24,603172,万丰股份,15.66,6,-0.3169,检测到连续 6 天亮红挤压增长后，首日转深红,4.94,49.02,24.34,9.14,39.63
2025-06-24,603211,晋拓股份,18.04,5,-0.5304,检测到连续 5 天亮红挤压增长后，首日转深红,2.53,74.89,55.8,55.8,37.42
2025-06-24,603289,泰瑞机器,9.3,6,-0.2707,检测到连续 6 天亮红挤压增长后，首日转深红,1.09,32.7,28.9,28.9,21.6
2025-06-24,603316,诚邦股份,6.81,7,-0.2344,检测到连续 7 天亮红挤压增长后，首日转深红,2.57,-380.69,36.81,36.81,196.38
2025-06-24,603356,华菱精工,13.44,7,-0.2813,检测到连续 7 天亮红挤压增长后，首日转深红,3.75,-19.03,19.08,19.08,11.97
2025-06-24,603528,多伦科技,8.17,7,-0.276,检测到连续 7 天亮红挤压增长后，首日转深红,6.78,-267.55,70.66,70.66,27.84
2025-06-24,603726,朗迪集团,15.56,6,-0.141,检测到连续 6 天亮红挤压增长后，首日转深红,1.07,17.3,40.56,40.36,41.79
2025-06-24,603786,科博达,52.1,6,-2.1184,检测到连续 6 天亮红挤压增长后，首日转深红,1.43,33.58,289.36,289.36,17.17
2025-06-24,603778,国晟科技,3.22,6,-0.0884,检测到连续 6 天亮红挤压增长后，首日转深红,14.33,-45.22,91.08,89.16,357.76
2025-06-24,603927,中科软,18.92,7,-0.5422,检测到连续 7 天亮红挤压增长后，首日转深红,0.57,67.78,156.65,156.65,-11.54
2025-06-24,603955,大千生态,30.94,9,-4.1262,检测到连续 9 天亮红挤压增长后，首日转深红,0.84,-82.73,40.7,40.7,66.15
2025-06-24,603991,至正股份,62.51,6,-1.6467,检测到连续 6 天亮红挤压增长后，首日转深红,1.94,-255.66,100.6,54.45,39.94
2025-06-24,605077,华康股份,15.53,9,-0.7184,检测到连续 9 天亮红挤压增长后，首日转深红,0.52,19.87,44.61,44.08,4.99
2025-06-24,605178,时空科技,18.6,6,-1.2032,检测到连续 6 天亮红挤压增长后，首日转深红,3.54,-32.75,50.73,50.73,256.3
2025-06-24,605186,健麾信息,20.18,5,-0.5661,检测到连续 5 天亮红挤压增长后，首日转深红,0.99,237.14,26.72,26.72,-2.29
2025-06-24,605365,立达信,14.89,5,-0.0879,检测到连续 5 天亮红挤压增长后，首日转深红,3.5,80.21,136.15,136.15,77.49
