日期,回测,代码,当前价,涨幅(%),综合得分,信号强度,动能衰减,资金承接,结构间隔,破位幅度,左波峰,右波峰
2025-12-01,,002536,22.11,1.8,60,谨慎做多,【≥2.0】4.91 → 恐慌充分释放,【-0.5–0.5】-0.33 → 资金观望,【>25】26 → 结构偏老,【2–5%】2.69% → 正常破位,"{'日期': '2025-10-23', '价格': 21.92, '动能值': -3.2007, 'obv': 1618644216}","{'日期': '2025-11-28', '价格': 21.33, '动能值': -0.6515, 'obv': 1611343384}"
2025-12-01,,002551,3.95,0.77,50,谨慎做多,【≥2.0】5.95 → 恐慌充分释放,【-0.5–0.5】-0.4 → 资金观望,【>25】50 → 结构偏老,【>5%】7.06% → 深度破位（风险）,"{'日期': '2025-09-11', '价格': 4.11, '动能值': -0.7081, 'obv': 393507448}","{'日期': '2025-11-28', '价格': 3.82, '动能值': -0.119, 'obv': 386826399}"
2025-12-01,,002570,6.26,0.64,70,谨慎做多,【1.2–1.5】1.38 → 下跌开始衰竭,【≥2.0】3.54 → 强力吸筹,【>25】39 → 结构偏老,【0–2%】1.94% → 诱空假破位,"{'日期': '2025-09-26', '价格': 6.17, '动能值': -0.4658, 'obv': 6671078631}","{'日期': '2025-11-28', '价格': 6.05, '动能值': -0.3368, 'obv': 6854252713}"
2025-12-01,,002605,24.07,2.16,40,谨慎做多,【≥2.0】2.01 → 恐慌充分释放,【<-0.5】-2.52 → 资金流出,【>25】27 → 结构偏老,【>5%】8.58% → 深度破位（风险）,"{'日期': '2025-10-22', '价格': 25.41, '动能值': -2.3062, 'obv': 615286838}","{'日期': '2025-11-28', '价格': 23.23, '动能值': -1.1475, 'obv': 603843583}"
2025-12-01,,002635,14.08,2.55,90,强烈做多,【≥2.0】4.96 → 恐慌充分释放,【0.5–2.0】1.63 → 资金承接,【15–25】24 → 结构健康（理想）,【0–2%】0.8% → 诱空假破位,"{'日期': '2025-10-27', '价格': 13.68, '动能值': -1.0151, 'obv': 35452496}","{'日期': '2025-11-28', '价格': 13.57, '动能值': -0.2048, 'obv': 44994354}"
2025-12-01,,002673,8.02,0.0,20,谨慎做多,【1.2–1.5】1.32 → 下跌开始衰竭,【<-0.5】-3.57 → 资金流出,【>25】50 → 结构偏老,【>5%】6.61% → 深度破位（风险）,"{'日期': '2025-09-11', '价格': 8.47, '动能值': -0.5641, 'obv': 1926760023}","{'日期': '2025-11-28', '价格': 7.91, '动能值': -0.4281, 'obv': 1781374549}"
2025-12-01,,002695,12.73,4.69,30,谨慎做多,【1.5–2.0】1.5 → 下跌明显衰竭,【<-0.5】-5.8 → 资金流出,【>25】32 → 结构偏老,【2–5%】4.12% → 正常破位,"{'日期': '2025-10-15', '价格': 12.37, '动能值': -0.9619, 'obv': 257707937}","{'日期': '2025-11-28', '价格': 11.86, '动能值': -0.6418, 'obv': 215938273}"
2025-12-01,,002705,14.9,0.4,50,谨慎做多,【1.5–2.0】1.84 → 下跌明显衰竭,【<-0.5】-3.68 → 资金流出,【>25】27 → 结构偏老,【2–5%】2.14% → 正常破位,"{'日期': '2025-10-22', '价格': 14.94, '动能值': -0.7073, 'obv': 73826395}","{'日期': '2025-11-28', '价格': 14.62, '动能值': -0.3842, 'obv': 49711037}"
2025-12-01,,002730,15.21,1.26,20,谨慎做多,【1.2–1.5】1.38 → 下跌开始衰竭,【<-0.5】-7.39 → 资金流出,【>25】49 → 结构偏老,【>5%】10.57% → 深度破位（风险）,"{'日期': '2025-09-12', '价格': 16.55, '动能值': -1.3547, 'obv': 749317443}","{'日期': '2025-11-28', '价格': 14.8, '动能值': -0.9843, 'obv': 706869834}"
2025-12-01,,002809,11.44,0.35,90,强烈做多,【≥2.0】2.74 → 恐慌充分释放,【≥2.0】5.59 → 强力吸筹,【>25】30 → 结构偏老,【2–5%】2.47% → 正常破位,"{'日期': '2025-10-17', '价格': 11.34, '动能值': -0.8805, 'obv': 552227997}","{'日期': '2025-11-28', '价格': 11.06, '动能值': -0.3219, 'obv': 576856338}"
2025-12-01,,002827,35.66,0.73,40,谨慎做多,【≥2.0】5.15 → 恐慌充分释放,【<-0.5】-3.52 → 资金流出,【>25】66 → 结构偏老,【>5%】21.18% → 深度破位（风险）,"{'日期': '2025-08-20', '价格': 44.14, '动能值': -8.0437, 'obv': 472243422}","{'日期': '2025-11-28', '价格': 34.79, '动能值': -1.5629, 'obv': 447445011}"
